Name,Rating,Time,Review Text
"Rey Rumimper","5 bintang","3 tahun lalu","for yg minta"" tutup jo ini kantor s terkabulkan ngoni p doa 🤣🤣 s ttp drg p kantor ini kong pindah di yg lbh jao jadi yg ada rencna m ambe paket sandiri di kantor b kira jo 🤣🤣😅 …"
"Puppy Pi","1 bintang","Diedit 4 tahun lalu","PENGIRIMAN BURUK ! KURIR DAN PEGAWAI TIDAK PROFESSIONAL SUDAH BANYAK DROP POINT JNT TAPI INI YANG TERBURUK SELALU ADA KENDALA JIKA MENGGUNAKAN JASA PENGIRIMAN INI …"
"Chynta Kaawoan","1 bintang","3 tahun lalu","10 hari tunggu, akhirnya nd di antar tp diketerangan tulis “sudah diterima” Ekspedisi penipu"
"Randy Sumalu","1 bintang","3 tahun lalu","PARAH... Pengiriman tidak pernah ada kabar dari kurir, taunya di status pengiriman GAGAL!!! -,-"
"Annacanss","1 bintang","4 tahun lalu","So berapa hari tpe barang ni j&t nd kirim' no , alasan di luar jam operasional trus .."
"Kelvin Andemora","1 bintang","4 tahun lalu","beda waktu di tanjung batu dulu,,,di teling barang sampe deng hari2 belum kirim,,nda konfirmasi lewat tlfon,dll,,parahmen"
"Angela Makarawung","1 bintang","4 tahun lalu","pengiriman paket kerumah lama jadi hrs ambil sndiri paketnya,pelayanan buruk"
"Dirly Dotinagi","1 bintang","3 tahun lalu","Kurir pmlas ba antar paket Coba tolong bku mngrti dg torng kw"
"Judianto Siregar","1 bintang","3 tahun lalu","Layanan kurir tidak bagus...paket dengan terpaksa dijemput dikantor."
"michelle kumendong","1 bintang","3 tahun lalu","buruk skali ngoni pe pelayanan ee riki somo ba abu tuh paket nda bawah"" wkwk"
"Yulia Tambuwun","1 bintang","3 tahun lalu","Paket di retur tanpa pemberitahuan.... Malas mo antar kwa ini dpe crta😡 …"
"Irene Lengkey","1 bintang","3 tahun lalu","So sllu pake jnt cuma jnt disini paling bsae. Ny pernah beres ba antar. 👎👎👎 …"
"Jae Kim","1 bintang","3 tahun lalu","Barang smo 2 minggu nd antar"" , busuk dp pelayanan ini 🤬 …"
"Watiassar Beo","1 bintang","3 tahun lalu","Lokasi j&T di mana klu di teling,,,,so mau ambil paket tdk pernah di antar antar🤦🤦🤦 …"
"Diptri Marcelly Poli","1 bintang","4 tahun lalu","Sdh 3 hari sampe...barangnya tdk diantr ke rumah..👎 …"
"Ferdi Dede","1 bintang","4 tahun lalu","Barang sdh 3 hari di Jnt  belum di kirim kirim 👎 ke tempat tujuan …"
"Injilia Rumengan","1 bintang","3 tahun lalu","Pelayanan kurir sangat tidak sopan & sangat buruk 👎👎👎 …"
"Ficky Pangkey","1 bintang","3 tahun lalu","Paket tidak sampai2, sudah 4 hari"
"Cicilia Sangian","1 bintang","3 tahun lalu","Jasa kurir yang kurang baik, dan kasirnya juga tidak baik"
"Gabriella Samadi","1 bintang","3 tahun lalu","Kurir lama antar paket👎🏼 …"
"Dodi hendra","4 bintang","3 tahun lalu","Pelayanan kurang cepat krn hanya di handle satu orang"
"Key Yura","1 bintang","2 tahun lalu","Dua kali paket teretur"
"Brvndo Gaming","5 bintang","4 bulan lalu","good service"
"Juniar Taroi","1 bintang","3 tahun lalu","Pake acara pindah tampa ley"
"Heru Eko Prasetyo","1 bintang","4 tahun lalu","Ga jelas semuanya pelayanan buruk 👎👎👎 …"
"Acel Yo","1 bintang","3 tahun lalu","So boleh antar jo tpe barang"
"Jemie Sagrang","3 bintang","Diedit 3 tahun lalu","Cukup memuaskan."
"Chacha Zi","1 bintang","2 tahun lalu","Pelayanan sangat sangat buruk"
"J SINADIA","5 bintang","2 tahun lalu","👍 …"
"Finna Jojo","1 bintang","2 tahun lalu","Pelayanan buruk"
"Gita kurnia","1 bintang","4 tahun lalu","Pengiriman ke rumah LAMBAT"
"Grifin W","1 bintang","4 tahun lalu","Kurir lambat"
"Arthur Karambut","4 bintang","2 tahun lalu","Ramah"
"ichy light","1 bintang","2 tahun lalu","Pependox"
"TIAN PROJECT","5 bintang","3 tahun lalu","Bagus"
